Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
Dragon Ball: Xenoverse,XOne,Namco Bandai Games,Dimps Corporation,,6.7,7.3,2015
FIFA 16,XOne,EA Sports,EA Canada,3250000,8.5,4.4,2015
NHL 16,XOne,EA Sports,EA Canada,480000,8,6,2015
NHL 16,PS4,EA Sports,EA Canada,660000,7.8,5.4,2015
FIFA 16,PS4,EA Sports,EA Canada,8220000.0000000009,8.5,4.4,2015
Rory McIlroy PGA Tour,XOne,Electronic Arts,EA Tiburon,270000,6,4.2,2015
Madden NFL 16,PS4,EA Sports,EA Tiburon,3300000,8.2,5.9,2015
Madden NFL 16,XOne,EA Sports,EA Tiburon,2420000,8.4,6,2015
NBA Live 16,XOne,EA Sports,EA Tiburon,110000,6,5.6,2015
NBA Live 16,PS4,EA Sports,EA Tiburon,210000,5.9,6,2015
Rory McIlroy PGA Tour,PS4,Electronic Arts,EA Tiburon,550000,6.1,3.8,2015
Guitar Hero Live,XOne,Activision,FreeStyleGames,550000,8.1,5.1,2015
Guitar Hero Live,PS4,Activision,FreeStyleGames,1210000,8,6.2,2015
Dark Souls II: Scholar of the First Sin,PS4,Namco Bandai Games,From Software,690000,8.7,8,2015
Bloodborne,PS4,Sony Computer Entertainment,From Software,3110000,8.2,8.9,2015
Dark Souls II: Scholar of the First Sin,XOne,Namco Bandai Games,From Software,,8.9,7.7,2015
ScreamRide,XOne,Microsoft Studios,Frontier Developments,,7.1,4.8,2015
Grand Ages: Medieval,PS4,Kalypso Media,Gaming Minds Studios,90000,6.4,6.5,2015
Borderlands: The Handsome Collection,XOne,2K Games,Gearbox Software,430000,8,7.8,2015
Borderlands: The Handsome Collection,PS4,2K Games,Gearbox Software,1280000,8.2,7.9,2015
Darksiders II: Deathinitive Edition,XOne,Nordic Games,Gunfire Games,,7.5,7.1,2015
Darksiders II: Deathinitive Edition,PS4,Nordic Games,Gunfire Games,240000,7.5,7.4,2015
The Golf Club,XOne,Maximum Games,HB Studios,30000,6.4,5.3,2015
The Golf Club,PS4,Maximum Games,HB Studios,130000,6.6,6.4,2015
Tropico 5,PS4,Kalypso Media,Haemimont Games,380000,7.6,7.1,2015
Rock Band 4,XOne,Harmonix Music Systems,Harmonix Music Systems,470000,7.9,6.5,2015
Rock Band 4,PS4,Harmonix Music Systems,Harmonix Music Systems,570000,7.8,6.4,2015
Deadpool,PS4,Activision,High Moon Studios,470000,6,6,2015
The Crew: Wild Run,PS4,Ubisoft,Ivory Tower,140000,7.3,6.4,2015
The Book of Unwritten Tales 2,PS4,Nordic Games,KING Art Games,70000,6.3,6.5,2015
Nobunaga's Ambition: Sphere of Influence,PS4,Tecmo Koei,Koei,50000,8,7.5,2015
Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment,Kojima Productions,750000,9.5,7.4,2015
Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,Kojima Productions,3040000,9.3,8.2,2015
Wolfenstein: The Old Blood,XOne,Bethesda Softworks,MachineGames,150000,8,7.9,2015
Wolfenstein: The Old Blood,PS4,Bethesda Softworks,MachineGames,480000,7.6,7.9,2015
Tearaway Unfolded,PS4,Sony Computer Entertainment,Media Molecule,240000,8.1,8,2015
God Eater 2: Rage Burst,PS4,Namco Bandai Games,Namco Bandai Games,120000,6.9,7.5,2015
Tales of Zestiria,PS4,Namco Bandai Games,Namco Bandai Games,450000,7.2,7.2,2015
Saint Seiya: Soldiers' Soul,PS4,Namco Bandai Games,Namco Bandai Games,300000,5.9,7.2,2015
