Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
The Elder Scrolls Online: Morrowind,PS4,Bethesda Softworks,ZeniMax Online Studios,240000,7.5,6,2017
DOOM VFR,PS4,Bethesda Softworks,id Software,560000,7.1,8,2017
Rad Rodgers,PS4,THQ Nordic,3D Realms,20000,6.6,7,2018
Rad Rodgers,XOne,THQ Nordic,3D Realms,,6.7,7.8,2018
All-Star Fruit Racing,PS4,PQube,3DClouds.it,30000,6,3.6,2018
Punch Line,PS4,PQube,5pb. Inc.,40000,6.5,4.6,2018
Omen of Sorrow,PS4,Soedesco,AOne Games,40000,6.4,6.1,2018
428: Shibuya Scramble,PS4,Spike Chunsoft,Abstraction Games,20000,8.5,7.3,2018
BlazBlue: Cross Tag Battle,PS4,Arc System Works,Arc System Works,80000,7.6,6.5,2018
Dragon Ball FighterZ,XOne,Namco Bandai Games,Arc System Works,,8.6,7.9,2018
Dragon Ball FighterZ,PS4,Namco Bandai Games,Arc System Works,1460000,8.7,8.1,2018
Persona Dancing: Endless Night Collection,PS4,Atlus,Atlus,130000,7.5,6.9,2018
Persona 5: Dancing in Starlight,PS4,Atlus,Atlus,60000,7.2,7.8,2018
Persona 3: Dancing in Moonlight,PS4,Atlus,Atlus,40000,7.3,6,2018
Just Cause 4,PS4,Square Enix,Avalanche Studios,560000,6.5,5.2,2018
Just Cause 4,XOne,Square Enix,Avalanche Studios,,7,6.1,2018
New Gundam Breaker,PS4,Namco Bandai Games,Bandai Namco Games,130000,2.8,3,2018
Fallout 76,XOne,Bethesda Softworks,Bethesda Game Studios,,5.1,2.4,2018
Fallout 76,PS4,Bethesda Softworks,Bethesda Game Studios,1320000,5.1,2.5,2018
Dakar 18,XOne,Deep Silver,Bigmoon Entertainment,,5.4,7.1,2018
Dakar 18,PS4,Deep Silver,Bigmoon Entertainment,50000,5.3,5,2018
Shadow of the Colossus,PS4,Sony Interactive Entertainment,Bluepoint Games,1200000,9.3,7.8,2018
Tennis World Tour,PS4,Bigben Interactive,Breakpoint Studio,40000,4.5,2.8,2018
Tennis World Tour,XOne,Bigben Interactive,Breakpoint Studio,,4.2,1.9,2018
Destiny 2: Forsaken,PS4,Activision,Bungie,360000,8.2,6.2,2018
Destiny 2: Forsaken,XOne,Activision,Bungie,,8.6,5.4,2018
My Hero One's Justice,PS4,Bandai Namco Entertainment,Byking,300000,6.8,7.5,2018
GRIP: Combat Racing,PS4,U&I Entertainment,Caged Element,10000,7.1,6.1,2018
Monster Hunter: World,PS4,Capcom,Capcom,4670000,9.3,9,2018
Mega Man 11,XOne,Capcom,Capcom,,7.7,8.2,2018
Capcom Beat 'Em Up Bundle,PS4,Capcom,Capcom,10000,7.1,4.2,2018
Monster Hunter: World,XOne,Capcom,Capcom,,9.4,7.2,2018
Mega Man 11,PS4,Capcom,Capcom,170000,8.2,8,2018
Devil May Cry HD Collection,XOne,Capcom,Capcom,,7.1,6.9,2018
Devil May Cry HD Collection,PS4,Capcom,Capcom,210000,6,6,2018
Bridge Constructor Portal,XOne,Nighthawk Interactive,ClockStone,,7.8,5.4,2018
Bridge Constructor Portal,PS4,Nighthawk Interactive,ClockStoneSoftware,30000,7.8,3.7,2018
F1 2018,PS4,Codemasters,Codemasters Birmingham,530000,8.4,7.8,2018
F1 2018,XOne,Codemasters,Codemasters Birmingham,,8.4,8,2018
Megadimension Neptunia VIIR,PS4,Idea Factory International,Compile Heart,40000,7.1,6.6,2018
We Happy Few,XOne,Gearbox Software,Compulsion Games,,6.4,5.3,2018
We Happy Few,PS4,Gearbox Software,Compulsion Games,140000,6.7,4.6,2018
The Lost Child,PS4,NIS America,Crim,30000,6.1,5.1,2018
Call of Cthulhu,PS4,Focus Home Interactive,Cyanide,120000,6.3,7.2,2018
Call of Cthulhu,XOne,Focus Home Interactive,Cyanide,,6.6,5.9,2018
Tour de France 2018,PS4,Focus Home Interactive,Cyanide Studio,20000,5.7,5.4,2018
Zone of the Enders: The 2nd Runner MARS,PS4,Konami,Cygames,100000,7.1,7.7,2018
Owlboy,PS4,Soedesco,D-Pad Studios,50000,8.8,6.6,2018
Vampyr,XOne,Focus Home Interactive,DONTNOD Entertainment,,7,6.9,2018
Vampyr,PS4,Focus Home Interactive,DONTNOD Entertainment,370000,7,8.5,2018
Moonlighter,PS4,Merge Games,Digital Sun,10000,8.1,9,2018
Sword Art Online: Fatal Bullet,XOne,Namco Bandai Games,Dimps Corporation,,7.2,7.2,2018
Sword Art Online: Fatal Bullet,PS4,Namco Bandai Games,Dimps Corporation,290000,6.4,7.2,2018
Train Sim World,PS4,Maximum Games,Dovetail Games,90000,5.6,5.9,2018
NHL 19,XOne,EA Sports,EA Canada,,8.2,6.7,2018
NHL 19,PS4,EA Sports,EA Canada,430000,8,5.3,2018
Battlefield V,PS4,Electronic Arts,EA DICE,2220000,7.3,2.1,2018
Battlefield V,XOne,Electronic Arts,EA DICE,,7.8,2.6,2018
FIFA 19,XOne,Electronic Arts,EA Sports,,8.3,2,2018
FIFA 19,PS4,Electronic Arts,EA Sports,9150000,8.3,1.7,2018
Madden NFL 19,PS4,EA Sports,EA Tiburon,2210000,8,2.3,2018
NBA Live 19,PS4,Electronic Arts,EA Tiburon,190000,7.3,6.5,2018
NBA Live 19,XOne,Electronic Arts,EA Tiburon,,7.5,6.9,2018
Madden NFL 19,XOne,EA Sports,EA Tiburon,,8.1,3.3,2018
EA Sports UFC 3,PS4,EA Sports,EA Vancouver,970000,7.5,3.6,2018
EA Sports UFC 3,XOne,EA Sports,EA Vancouver,,7.7,5.5,2018
Shadow of the Tomb Raider,XOne,Square Enix,Eidos Montreal,,8.2,7.2,2018
Shadow of the Tomb Raider,PS4,Square Enix,Eidos Montreal,1740000,7.5,7.3,2018
Apex Construct,PS4,Perp Games,Fast Travel Games,50000,7.2,7,2018
The Persistence,PS4,Sony Interactive Entertainment,Firesprite,40000,7.8,8.1,2018
Jurassic World Evolution,XOne,Frontier Developments,Frontier Developments,,7.6,6.2,2018
Jurassic World Evolution,PS4,Frontier Developments,Frontier Developments,470000,6.8,7,2018
Conan Exiles,PS4,Maximum Games,Funcom Oslo A/S,210000,6.8,5.5,2018
Conan Exiles,XOne,Maximum Games,Funcom Oslo A/S,,6.4,5.7,2018
Monster Boy and the Cursed Kingdom,PS4,FDG Entertainment,Game Atelier,30000,8.7,7.8,2018
Railway Empire,XOne,Kalypso Media,Gaming Minds Studios,,7.7,8.3,2018
Borderlands 2 VR,PS4,2K Games,Gearbox Software,90000,7.2,7.6,2018
Overcooked! 2,PS4,Sold Out,Ghost Town Games,160000,8.1,7.2,2018
Overcooked! 2,XOne,Sold Out,Ghost Town Games,,8.3,6.2,2018
Farming Simulator 19,PS4,Focus Home Interactive,Giants Software,470000,6.4,4.5,2018
Mothergunship,XOne,Sold Out,Grip Games,,7.7,7.6,2018
Mothergunship,PS4,Sold Out,Grip Games,10000,7.8,5.3,2018
Darksiders III,XOne,THQ Nordic,Gunfire Games,,6.9,7.3,2018
Darksiders III,PS4,THQ Nordic,Gunfire Games,250000,6.3,7.5,2018
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,PS4,Tecmo Koei,Gust,60000,7.4,7,2018
Surviving Mars,XOne,Maximum Games,Haemimont Games,,7.6,6.5,2018
Surviving Mars,PS4,Maximum Games,Haemimont Games,40000,7.3,5.9,2018
A Way Out,PS4,Electronic Arts,Hazelight,480000,7.5,8,2018
A Way Out,XOne,Electronic Arts,Hazelight,,8.1,7.5,2018
No Man's Sky,XOne,505 Games,Hello Games,,7.7,7.7,2018
Super Bomberman R,XOne,Konami Digital Entertainment,HexaDrive,,6.3,6.7,2018
Super Bomberman R,PS4,Konami Digital Entertainment,HexaDrive,60000,6.7,5.4,2018
The Long Dark,PS4,Skybound Games,Hinterland Studio Inc.,50000,7.5,7.2,2018
The Long Dark,XOne,Skybound Games,Hinterland Studio Inc.,,7.5,7.9,2018
Earthfall,PS4,Gearbox Software,Holospark,40000,5.4,5.8,2018
Earthfall,XOne,Gearbox Software,Holospark,,5.6,5.5,2018
Gungrave VR,PS4,Xseed Games,IGGYMOB,10000,4.1,3.4,2018
Hitman 2,XOne,Warner Bros. Interactive Entertainment,IO Interactive,,8.4,7,2018
Hitman 2,PS4,Warner Bros. Interactive Entertainment,IO Interactive,510000,8.2,8.6,2018
Pure Farming 2018,XOne,Techland,Ice Flames,,7.3,7,2018
Pure Farming 2018,PS4,Techland,Ice Flames,40000,7,6.6,2018
Black Clover: Quartet Knights,PS4,Bandai Namco Entertainment,Ilinx,40000,5.3,5.2,2018
Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,8760000,9.1,8.7,2018
Extinction,XOne,Maximum Games,Iron Galaxy,,5.2,1.1,2018
Extinction,PS4,Maximum Games,Iron Galaxy,60000,4.7,1.5,2018
Titan Quest,PS4,THQ Nordic,Iron Lore Entertainment,20000,5.5,5.6,2018
The Crew 2,XOne,Ubisoft,Ivory Tower,,6.9,5,2018
The Crew 2,PS4,Ubisoft,Ivory Tower,820000,6.5,5,2018
The Raven Remastered,PS4,THQ Nordic,KING Art Games,30000,7.2,8.4,2018
Metal Max Xeno,PS4,NIS America,Kadokawa Games,50000,6.1,5.4,2018
Nobunaga's Ambition: Taishi,PS4,Koei Tecmo,Koei Tecmo Games,60000,7,5.3,2018
Pro Evolution Soccer 2019,XOne,Konami,Konami,,8.2,6.8,2018
Pro Evolution Soccer 2019,PS4,Konami,Konami,500000,7.9,6.6,2018
Metal Gear Survive,XOne,Konami Digital Entertainment,Konami Digital Entertainment,,6.2,2,2018
Metal Gear Survive,PS4,Konami Digital Entertainment,Konami Digital Entertainment,230000,6,1.4,2018
V-Rally 4,XOne,Bigben Interactive,Kylotonn,,6.7,8,2018
V-Rally 4,PS4,Bigben Interactive,Kylotonn,10000,5.8,5.3,2018
Armello,PS4,League of Geeks,League of Geeks,20000,7.4,7.1,2018
Ni no Kuni II: Revenant Kingdom,PS4,Namco Bandai Games,Level 5,890000,8.7,7.4,2018
Tempest 4000,PS4,Atari,Llamasoft,10000,7.5,4.8,2018
Tempest 4000,XOne,Atari,Llamasoft,,7.5,6.8,2018
Agony,XOne,Maximum Games,Madmind Studio,,3.4,4.5,2018
Agony,PS4,Maximum Games,Madmind Studio,30000,5,4.9,2018
Shining Resonance Refrain,PS4,Sega,Media.Vision,80000,6.7,6.8,2018
Gravel,XOne,Milestone S.r.l.,Milestone S.r.l,,6.7,7,2018
Gravel,PS4,Milestone S.r.l.,Milestone S.r.l.,80000,6.7,6.6,2018
MXGP Pro,XOne,Milestone S.r.l.,Milestone S.r.l.,,7.5,6.9,2018
Tetris Effect,PS4,Sony Interactive Entertainment,Monstars Inc.,250000,8.9,7.7,2018
NASCAR Heat 3,PS4,704Games,Monster Games,130000,6.4,5.4,2018
NASCAR Heat 3,XOne,704Games,Monster Games,,6.8,8.3,2018
Dead Cells,PS4,Merge Games,Motion Twin,50000,8.7,7.5,2018
The Seven Deadly Sins: Knights of Britannia,PS4,Bandai Namco Entertainment,Natsume Atari,100000,5.5,5.9,2018
"Warhammer 40,000: Inquisitor - Martyr",XOne,Neocore Games,Neocore Games,,7.1,3.9,2018
"Warhammer 40,000: Inquisitor - Martyr",PS4,Neocore Games,Neocore Games,20000,6.4,6.2,2018
Hellblade: Senua's Sacrifice,PS4,505 Games,Ninja Theory,50000,8.3,8.1,2018
Hellblade: Senua's Sacrifice,XOne,Microsoft Studios,Ninja Theory,,8.8,7.3,2018
Disgaea 1 Complete,PS4,NIS America,Nippon Ichi Software,70000,8.3,7.6,2018
The Witch and the Hundred Knight 2,PS4,NIS America,Nippon Ichi Software,70000,6.1,6.8,2018
Labyrinth of Refrain: Coven of Dusk,PS4,NIS America,Nippon Ichi Software,30000,7.5,6.7,2018
Attack on Titan 2,PS4,Koei Tecmo,Omega Force,220000,7.8,7,2018
Attack on Titan 2,XOne,Koei Tecmo,Omega Force,,7,7,2018
Dynasty Warriors 9,PS4,Tecmo Koei,Omega Force,370000,6.5,4,2018
Dynasty Warriors 9,XOne,Tecmo Koei,Omega Force,,5.6,4.1,2018
Warriors Orochi 4,PS4,Koei Tecmo,Omega Force,220000,7.2,7.2,2018
Warriors Orochi 4,XOne,Koei Tecmo,Omega Force,,6.8,7.3,2018
Adventure Time: Pirates of the Enchiridion,PS4,Outright Games,Outright Games,20000,6.2,5.2,2018
PlayerUnknown's Battlegrounds,PS4,Sony Interactive Entertainment,PUBG Corporation,330000,7.2,3.3,2018
Past Cure,PS4,Phantom 8 Studio,Phantom 8 Studio,30000,3.7,5,2018
Past Cure,XOne,Phantom 8 Studio,Phantom 8 Studio,,3.4,6.9,2018
Forza Horizon 4,XOne,Microsoft Studios,Playground Games,,9.2,7.9,2018
Yooka-Laylee,PS4,Team17 Software,Playtonic Games,290000,6.8,6.2,2018
SoulCalibur VI,XOne,Bandai Namco Games,Project Soul,,8.4,4.7,2018
SoulCalibur VI,PS4,Bandai Namco Games,Project Soul,710000,8.4,6.3,2018
Detroit: Become Human,PS4,Sony Interactive Entertainment,Quantic Dream,1570000,8,8.6,2018
Sea of Thieves,XOne,Microsoft Studios,Rare Ltd.,,6.9,7,2018
Strange Brigade,PS4,Rebellion Developments,Rebellion Developments,90000,7.3,5.5,2018
Strange Brigade,XOne,Rebellion Developments,Rebellion Developments,,7.5,5.9,2018
Darkest Dungeon,PS4,Red Hook Studios,Red Hook Studios,40000,8.3,7.6,2018
Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,13940000,9.8,7.9,2018
Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,,9.7,7.4,2018
MLB The Show 18,PS4,Sony Interactive Entertainment,SIE San Diego Studio,1060000,8.2,6.3,2018
God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,6150000,9.7,10,2018
NBA 2K Playgrounds 2,PS4,2K Games,Saber Interactive,80000,7.3,5.9,2018
NBA 2K Playgrounds 2,XOne,2K Games,Saber Interactive,,6.2,6.3,2018
Earth Defense Force 5,PS4,D3 Publisher,Sandlot,240000,7.2,6.5,2018
Sega Genesis Classics,XOne,Sega,Sega,,7.3,7.3,2018
Valkyria Chronicles 4,PS4,Sega,Sega,250000,8.4,7.9,2018
Yakuza 6: The Song of Life,PS4,Sega,Sega,690000,8.3,8.2,2018
Shenmue I & II,PS4,Sega,Sega,270000,7.5,7.9,2018
Shenmue I & II,XOne,Sega,Sega,,7.4,8.2,2018
Sega Genesis Classics,PS4,Sega,Sega,350000,7.5,7.2,2018
ARK Park,PS4,Snail Games USA,Snail Games USA,50000,4.6,4.5,2018
Naruto to Boruto: Shinobi Striker,PS4,Bandai Namco Games,Soleil Software Studio Inc.,290000,8.5,5.6,2018
Naruto to Boruto: Shinobi Striker,XOne,Bandai Namco Games,Soleil Software Studio Inc.,,6,5.8,2018
Nickelodeon Kart Racers,XOne,GameMill Entertainment,Solutions 2 Go,,4.9,6.3,2018
Nickelodeon Kart Racers,PS4,GameMill Entertainment,Solutions 2 Go,,4.2,4.6,2018
Fire Pro Wrestling World,PS4,Spike Chunsoft,Spike Chunsoft,120000,7.9,7.1,2018
Secret of Mana,PS4,Square Enix,Square,280000,6.3,6,2018
World of Final Fantasy Maxima,XOne,Square Enix,Square Enix,,8.1,8.1,2018
Dragon Quest XI: Echoes of an Elusive Age,PS4,Square Enix,Square Enix,2040000,9.5,8.7,2018
Burnout Paradise Remastered,XOne,Electronic Arts,Stellar Entertainment,,8,6.7,2018
Burnout Paradise Remastered,PS4,Electronic Arts,Stellar Entertainment,370000,8,6.5,2018
Trailblazers,PS4,Rising Star Games,Supergonk,20000,6.3,6,2018
The Inpatient,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,130000,5.9,6.1,2018
Bravo Team,PS4,Sony Interactive Entertainment,Supermassive Games Ltd.,270000,4.5,4.4,2018
Creed: Rise to Glory,PS4,Sony Interactive Entertainment,Survios,190000,7.5,6.8,2018
Titan Quest,XOne,THQ Nordic,THQ Nordic,,6.6,6.9,2018
Override: Mech City Brawl,XOne,Modus Games,The Balance Inc,,6.4,6.5,2018
Bendy and the Ink Machine,PS4,Rooster Teeth Games,TheMeatly Games,180000,7.1,5.7,2018
Bendy and the Ink Machine,XOne,Rooster Teeth Games,TheMeatly Games,,7,8.2,2018
Lost Sphear,PS4,Square Enix,Tokyo RPG Factory,20000,6,6.9,2018
Spyro Reignited Trilogy,XOne,Activision,Toys for Bob,,8.3,6.8,2018
Spyro Reignited Trilogy,PS4,Activision,Toys for Bob,2170000,8.2,8.1,2018
LEGO DC Super-Villains,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,7.2,7,2018
LEGO DC Super-Villains,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,460000,7.4,6.5,2018
LEGO The Incredibles,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,530000,6.5,4.6,2018
LEGO The Incredibles,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,7.4,6.9,2018
Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,9320000,8.3,4,2018
Assassin's Creed Rogue Remastered,XOne,Ubisoft,Ubisoft,,6,6.8,2018
Assassin's Creed Rogue Remastered,PS4,Ubisoft,Ubisoft,150000,7.1,6,2018
Far Cry 5,PS4,Ubisoft,Ubisoft,3950000,7.9,6.8,2018
Far Cry 5,XOne,Ubisoft,Ubisoft Montreal,,7.2,6.7,2018
Just Dance 2019,XOne,Ubisoft,Ubisoft Paris,,7.7,4.7,2018
Assassin's Creed Odyssey,PS4,Ubisoft,Ubisoft Quebec,3180000,9.5,5.9,2018
Assassin's Creed Odyssey,XOne,Ubisoft,Ubisoft Quebec,,8.7,5.6,2018
Starlink: Battle for Atlas,PS4,Ubisoft,Ubisoft Toronto,100000,7,5.4,2018
Starlink: Battle for Atlas,XOne,Ubisoft,Ubisoft Toronto,,7.8,6.7,2018
State of Decay 2,XOne,Microsoft Studios,Undead Labs,,7,5.4,2018
Subnautica,PS4,Gearbox Software,Unknown Worlds Entertainment,120000,8,7.6,2018
Subnautica,XOne,Gearbox Software,Unknown Worlds Entertainment,,8.1,8.3,2018
Dragon's Crown Pro,PS4,Atlus,Vanillaware,190000,8,7.8,2018
Dragon's Crown Pro,PS4,Atlus,Vanillaware,190000,8,7.8,2018
Crash Bandicoot N. Sane Trilogy,XOne,Activision,Vicarious Visions,,7.9,6.9,2018
Yoku's Island Express,PS4,Villa Gorilla,Villa Gorilla,10000,9,7.1,2018
Yoku's Island Express,XOne,Villa Gorilla,Villa Gorilla,,9,7.8,2018
NBA 2K19,PS4,2K Sports,Visual Concepts,2630000,8.2,2.6,2018
NBA 2K19,XOne,2K Sports,Visual Concepts,,8.3,2.8,2018
WWE 2K19,PS4,2K Sports,Visual Concepts,980000,7.7,5.6,2018
WWE 2K19,XOne,2K Sports,Visual Concepts,,7.7,4.6,2018
Red Faction: Guerrilla Re-Mars-tered,XOne,THQ Nordic,Volition,,7.3,4.4,2018
Red Faction: Guerrilla Re-Mars-tered,PS4,THQ Nordic,Volition,90000,7,5,2018
Don't Knock Twice,PS4,Perpetual,Wales Interactive Ltd.,30000,5.6,5.6,2018
Kingdom Come: Deliverance,XOne,Deep Silver,Warhorse Studios,,6.8,7.5,2018
Kingdom Come: Deliverance,PS4,Deep Silver,Warhorse Studios,560000,6.9,7.2,2018
The Elder Scrolls Online: Summerset,PS4,Bethesda Softworks,ZeniMax Online Studios,100000,7.5,5.4,2018
Steins;Gate Elite,PS4,Spike Chunsoft,5pb. Inc.,30000,8.6,7.3,2019
God Eater 3,PS4,Bandai Namco Entertainment,Bandai Namco Studios,190000,7.1,7.2,2019
Onimusha: Warlords,PS4,Capcom,Capcom,30000,7.4,5.6,2019
Death end re;Quest,PS4,Idea Factory,Compile Heart,30000,7.4,7.4,2019
FIFA 20,PS4,Electronic Arts,EA Sports,,7.9,1.1,2019
Madden NFL 20,PS4,EA Sports,EA Tiburon,,7.6,1.5,2019
Senran Kagura Burst Re:Newal,PS4,Xseed Games,HONEY PARADE GAMES,40000,6.5,4.1,2019
The Caligula Effect: Overdose,PS4,NIS America,Historia,40000,6.5,5.6,2019
Call of Duty: Modern Warfare,PS4,Activision,Infinity Ward,0,8,3.3,2019
Fate/Extella Link,PS4,Xseed Games,Marvelous,120000,7.7,7.2,2019
The Liar Princess and the Blind Prince,PS4,NIS America,Nippon Ichi Software,20000,6.9,6.4,2019
Broken Sword 5: The Serpent's Curse,PS4,Unbalance,Revolution Software,70000,7.2,7.3,2019
NBA 2K20,PS4,2K Sports,Visual Concepts,,7.8,1.2,2019
Mortal Kombat 11,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,,8.2,3.6,2019
Persona 5 Royal,PS4,Atlus,Atlus,0,9.5,8.2,2020
Final Fantasy VII Remake,PS4,Square Enix,Square Enix,0,8.7,8.1,2020
Nioh 2,PS4,Sony Interactive Entertainment,Team Ninja,0,8.5,7.8,2020
The Last of Us: Part II,PS4,Sony Interactive Entertainment,Naughty Dog,10300000,93,5.7,2020
Cuphead,XOne,Studio MDHR,Studio MDHR,3000000,,,2017
